date,AAPL,AMZN,MSFT,NVDA,LLY,GOOGL
19.07.2024,223.2850570446,183.13,433.7959263396,117.893533,851.5833737068,176.7950090957
22.07.2024,222.9366563048,182.55,439.5817245382,123.5017982432,860.0250202676,180.78548521
23.07.2024,223.9818585244,186.41,441.4772433305,122.5520920077,872.2604421064,180.9049009541
24.07.2024,217.5414219898,180.83,425.6481727873,114.214670951,853.9768287905,171.7894991567
25.07.2024,216.4962197701,179.85,415.2277815207,112.2452801258,815.5524399154,166.4655472336
26.07.2024,216.9640721923,182.5,422.0456946637,113.0250389297,799.0961947963,166.1869104975
29.07.2024,217.2427927842,183.2,423.4946252589,111.5554934916,802.244432396,168.7045924349
30.07.2024,217.800233968,181.71,419.7135118564,103.6979240065,784.7851210385,169.4608921474
31.07.2024,221.0652466162,186.98,415.1781606099,116.9838143955,798.748597585,170.7048061481
01.08.2024,217.3622444664,184.07,413.9475620222,109.1762294491,826.7252074224,169.9286038117
02.08.2024,218.8553904946,167.9,405.3929170014,107.2368293472,798.937293214,165.8485658893
05.08.2024,208.3137795361,161.02,392.1540580017,100.4189382672,769.9377544403,158.4746436929
06.08.2024,206.2831009378,161.93,396.5802432444,104.2177632091,787.7347316603,157.5193177404
07.08.2024,208.861266413,162.77,395.4091897497,98.8794144749,766.8391735851,158.1661530208
08.08.2024,212.3353195051,165.8,399.6368913493,104.9375405665,839.5068534504,161.2411084306
09.08.2024,215.2519314134,166.94,402.9416440082,104.7176085962,885.5585182769,162.8731235995
12.08.2024,216.7848946689,166.8,403.7256543987,108.986288202,878.3086335835,161.4998425427
13.08.2024,220.51208405,170.23,410.871065553,116.1040865142,901.8161364181,163.3607378878
14.08.2024,220.9605426653,170.1,413.6994574682,118.0434866161,925.2839138572,159.5891906376
15.08.2024,223.9502667678,177.59,418.5821550903,122.8220085167,926.4756757246,160.5146626541
16.08.2024,225.2757111199,177.06,416.0370387874,124.5414766483,917.0675090698,162.1665804471
19.08.2024,225.1162591677,178.22,419.0792481182,129.9598006444,916.7592076255,165.8585172013
20.08.2024,225.7341354823,178.88,422.3302365208,127.2106510154,944.7649130167,166.3660341136
21.08.2024,225.6245122652,180.11,421.674073724,128.4602644832,946.7539545928,165.0425096168
22.08.2024,223.7609175746,176.13,413.1340155043,123.701736398,948.9419003265,163.0024906556
23.08.2024,226.0630051335,177.04,414.3668062135,129.3299954567,947.5197355996,164.8136294407
26.08.2024,226.4018405318,175.5,411.0859922293,126.4208953038,945.321844658,165.351000289
27.08.2024,227.2489290275,173.12,411.4339573488,128.2603263283,949.2502017708,163.8782061121
28.08.2024,225.7142039882,170.8,408.2127945279,125.5711581458,943.7405566051,162.057116015
29.08.2024,229.0029005009,172.12,410.7181433886,117.5536381368,935.0484449176,160.9923256304
30.08.2024,228.2156064873,178.5,414.7147713331,119.3330877148,954.7598469366,162.5845355513
03.09.2024,222.0069461012,176.25,407.0595387031,107.9666036123,951.2889693863,156.5938457238
04.09.2024,220.0935226756,173.33,406.522678233,106.1771571265,941.1249669325,155.6882763313
05.09.2024,221.6182819679,177.89,406.0156433445,107.1768479007,907.7488492858,156.4744299798
06.09.2024,220.0636254346,171.39,399.3645386309,102.7982023098,897.7638605739,150.1852007921
09.09.2024,220.1533171577,175.4,403.3611665754,106.4370767278,903.2933961554,148.1849870789
10.09.2024,219.356057397,179.55,411.7918643289,108.0665726897,896.3118602233,148.1351636013
11.09.2024,221.8973228841,184.52,420.5804690625,116.8738484103,915.8442485005,150.6263374813
12.09.2024,222.0069461012,187.0,424.5174458437,119.1131557445,929.8968272355,154.1438749999
13.09.2024,221.737870932,186.49,428.0865737841,119.0731647572,918.6487971227,156.904095659
16.09.2024,215.5790392809,184.89,428.832213326,116.7536874924,918.4797285888,157.5019773902
17.09.2024,216.0474293903,186.88,432.6200621988,115.5639556195,901.2148477084,158.7575290257
18.09.2024,219.9340707235,186.43,428.3052947164,113.344455823,900.0114775548,159.2457991062
19.09.2024,228.0860517762,189.87,436.1394808364,117.843441897,910.0263018904,161.5675731624
20.09.2024,227.4183467266,191.6,432.7393645255,115.9738632396,916.4409609733,163.0124540128
23.09.2024,225.6942724942,193.88,430.9895970672,116.2338046572,913.4872342328,161.2785969923
24.09.2024,226.591189725,193.96,426.6748295848,120.8427659463,919.3648520901,161.7170435952
25.09.2024,225.5946150241,192.53,429.597736589,123.4821711097,919.4941397926,160.9198679535
26.09.2024,226.7406759301,191.16,428.8023877443,124.0120516917,904.3376429828,162.155490198
27.09.2024,227.0097510993,187.97,425.5315156206,121.3726465283,872.9804025358,163.3711830515
30.09.2024,232.2019052906,186.33,427.7982598279,121.4126375156,881.0857469584,165.2644752003
01.10.2024,225.435163072,185.13,418.2441318313,116.9736379227,879.6337466078,166.4004504896
02.10.2024,226.0032106515,184.76,414.7048294725,118.8232210864,886.187638601,165.2744398958
03.10.2024,224.8970127336,181.96,414.1182596996,122.8223198188,880.697883851,165.2744398958
04.10.2024,226.0231421455,186.51,413.6410503928,124.8918534128,882.2990623198,166.4702033582
07.10.2024,220.9306454243,180.8,407.1589573087,127.6912225255,893.4774759774,162.404607586
08.10.2024,224.9966702036,182.72,412.2988992174,132.8600576371,908.7135344502,163.7996649588
09.10.2024,228.7537568257,185.17,415.032910871,132.6201117132,914.7005495942,161.2885616878
10.10.2024,228.2554694753,186.65,413.4223294605,134.7796250287,905.7001364624,161.5077849892
11.10.2024,226.7705731711,188.82,413.8995387673,134.7696272818,926.9530457029,162.6636896696
14.10.2024,230.5077282992,187.54,416.7031434448,138.0388904956,924.4170176934,164.377617299
15.10.2024,233.0489937863,187.69,416.3054690224,131.5703482959,908.315726135,164.875852075
16.10.2024,230.9860841556,186.89,413.7007015561,135.6894199903,911.3987405779,164.5769112094
17.10.2024,231.3548167949,187.53,414.2972131896,136.8991473568,912.0949051295,162.3547841084
18.10.2024,234.1950546922,188.99,415.72884111,137.9689062678,912.9402477994,162.8430541889
21.10.2024,235.6699852494,189.07,416.3452364647,143.6776197083,901.165121669,163.4907593977
22.10.2024,235.0521089349,189.7,425.0244807322,143.5576467463,904.1685744488,164.5569818184
23.10.2024,229.9695779607,184.71,422.1313993097,139.5285547734,898.3009017994,162.2053136756
24.10.2024,229.7802287676,186.38,422.2606434969,140.378363254,886.4362687981,162.1455255025
25.10.2024,230.6173515163,187.83,425.6607598079,141.5081086459,887.8087074855,164.6865228601
28.10.2024,232.6005351709,188.39,424.1098295608,140.4883384692,890.682872563,166.1314037105
29.10.2024,232.8696103401,190.83,429.4386668201,141.2181739878,898.6290936595,169.0809535845
30.10.2024,229.3118386582,192.73,430.0152947325,139.3036054697,842.190038938,173.8440780431
31.10.2024,225.1361906618,186.4,403.9875037906,132.7300869283,825.1936786704,170.5059050439
01.11.2024,222.1464665593,197.93,407.9841317351,135.3694920917,814.4429089517,170.6852695632
04.11.2024,221.2495493286,195.78,406.0852363684,136.0193456357,801.7229880726,168.6425069816
05.11.2024,222.6846168978,199.5,409.0677945359,139.8784759125,801.6434264095,169.1407417576
06.11.2024,221.9571173662,207.09,417.7370969428,145.5771916062,772.1260494204,175.8868406247
07.11.2024,226.700812942,210.05,422.956573736,148.8464548199,793.0806024245,180.1118715252
08.11.2024,226.4317377728,208.18,420.0833760346,147.596736466,826.9838160889,177.7203446004
11.11.2024,223.7080920021,206.84,415.5797132017,145.2272704671,827.8788847981,179.7132837044
12.11.2024,223.7080920021,208.91,420.570527202,148.2565877569,814.3732924965,180.9788000354
13.11.2024,224.5960204768,214.1,422.7279109432,146.237042897,807.3619209408,178.2484734629
14.11.2024,227.6888050516,211.48,424.4080853775,146.7269324917,781.9220791827,174.9601239413
15.11.2024,224.4762997836,202.61,412.5872131736,141.9480095065,743.4042890618,171.8810330256
18.11.2024,227.4892705629,201.7,413.342794576,140.1184218364,724.4754744113,174.6811124668
19.11.2024,227.7486653982,204.61,415.3609922694,146.9768761625,726.99599552,177.4911566034
20.11.2024,228.4669895575,202.88,413.074364341,145.8571285174,750.5872760949,175.3587117621
21.11.2024,227.9881067847,198.38,411.294771301,146.6369527702,747.1103517197,167.0381910029
22.11.2024,229.3349645834,197.12,415.4090140541,141.918016266,745.2075077206,164.1783233886
25.11.2024,232.3279819138,201.45,417.192184642,135.9893523952,752.1713190051,167.0581203939
26.11.2024,234.512884565,207.86,426.357083753,136.88914961,786.3627357843,168.5229306354
27.11.2024,234.3831871474,205.74,421.3761603231,135.3095056107,785.2369694393,168.6325422861
29.11.2024,236.7776010117,207.89,421.8443671255,138.2188499385,792.3701438023,168.3535308115
02.12.2024,239.032340734,210.71,429.3356759641,138.5987643181,796.8034714441,170.8845634736
03.12.2024,242.0852184111,213.44,429.554836595,140.2283970516,810.2827799821,170.7350930408
04.12.2024,242.4443804907,218.16,435.7511053418,145.1072975051,826.7309236599,173.7543957834
05.12.2024,242.474310664,220.55,440.9312657089,145.0373132773,822.5267343007,172.0305034584
06.12.2024,242.2747761753,227.03,441.8776411606,142.4177230333,823.6126505096,174.0931954311
09.12.2024,246.1756754293,226.09,444.3182936413,138.7882907488,800.5693093062,174.9501592458
10.12.2024,247.1933013217,225.04,441.638556836,135.0488756677,796.5842956955,184.7266977678
11.12.2024,245.916280594,230.26,447.2769621586,139.2882125511,793.0475961161,194.9322068577
12.12.2024,247.382859086,228.97,447.8447874297,137.3185206501,779.4188495678,191.5004423152
13.12.2024,247.5524634014,227.46,445.5635244988,134.229003912,786.1634851038,189.3655655359
16.12.2024,250.4556902119,232.93,449.8670423422,131.9793558017,776.0814006689,196.1891903819
17.12.2024,252.890010974,231.15,452.726092391,130.3696075984,775.7028243759,194.9521589771
18.12.2024,247.4726496059,220.52,435.7212198013,128.8898390637,761.8449395449,187.9489650562
19.12.2024,249.2085996575,223.29,435.3625933143,130.6595622437,754.7018026479,188.0587017131
20.12.2024,253.8976601419,224.92,434.9342338993,134.6789335341,764.883512423,190.9517590308
23.12.2024,254.6758446478,225.06,433.5893845733,139.6481562487,793.2966594668,194.1640502595
24.12.2024,257.5990249072,229.05,437.6538180921,140.1980702312,792.6889448912,195.6405070975
26.12.2024,258.4171163109,227.05,436.4384727752,139.9081155859,791.1646771851,195.131728052
27.12.2024,254.9950998297,223.75,428.8873928554,136.9885722606,780.235777358,192.2985270925
30.12.2024,251.6129902463,221.3,423.2091401453,137.4684971908,770.9407331112,190.7821660157
31.12.2024,249.8371332969,219.39,419.891845141,134.2689976562,769.1076268503,188.8468104307
02.01.2025,243.2824253432,220.22,416.982985858,138.2883689465,775.1548850044,188.976499207
03.01.2025,242.7935658459,224.19,421.7347868101,144.4474055506,779.0502358088,191.3308493001
06.01.2025,244.4297486533,227.61,426.217617897,149.4066298292,762.233478372,196.398687636
07.01.2025,241.6462425359,222.11,420.7585258178,140.1180827429,770.3927937397,195.0219913951
08.01.2025,242.1351020332,222.13,422.9401702801,140.0880874347,784.2706036387,193.4856781988
10.01.2025,236.2987182389,218.94,417.3515741918,135.8887442956,796.9030967844,191.580250793
13.01.2025,233.8544207523,218.46,415.5982891444,133.2091634354,794.49216355,190.5527166422
14.01.2025,232.7370276156,217.76,414.0840884218,131.7393933367,742.1191221723,189.2059485805
15.01.2025,237.3163441312,223.35,424.6834934806,136.2186926851,743.9422658992,195.0818477534
16.01.2025,227.7287119494,220.66,422.9600939738,133.5491102609,754.7615778521,192.4481679883
17.01.2025,229.4447085521,225.94,427.3931158265,137.6884627838,723.0010193754,195.5307704407
21.01.2025,222.121792817,230.71,426.8651379429,140.80797483,739.5687134616,197.5758626825
22.01.2025,223.3090230247,235.01,444.4976068848,147.0469989224,751.1551405344,197.8950965934
23.01.2025,223.1394187093,235.42,445.0056610746,147.1969754631,763.727858476,197.5060302645
24.01.2025,222.2614669591,234.85,442.3657716568,142.5976948822,782.4673849799,199.7306915812
27.01.2025,229.3249878589,235.42,432.9020171399,118.4014796518,805.1421124244,191.3508014195
28.01.2025,237.7054363842,238.15,445.4937915707,128.969826552,801.9740266039,194.8324462605
29.01.2025,238.802876072,237.07,440.64237215,123.6806538839,801.0674360075,194.9421829174
30.01.2025,237.036995847,234.64,413.4066828353,124.6305053082,820.1456886684,200.3891115225
31.01.2025,235.4506966619,237.68,413.4764157633,120.0512215994,808.0412098261,203.5315703332
03.02.2025,227.4792938385,237.42,409.3522111633,116.6417549078,807.3936451144,200.7482496723
04.02.2025,232.2581448428,242.06,410.796678958,118.6314436809,822.9750483319,205.8859204262
05.02.2025,231.9289129364,236.17,411.7131688691,124.8104771571,839.0246906487,190.8719505531
06.02.2025,232.677167269,238.83,414.2335161246,128.6598750346,867.1090740695,191.1413041655
07.02.2025,227.10017831,229.15,408.1866750807,129.8196936159,875.0193260866,184.896290783
10.02.2025,227.3695498697,233.14,410.6472512551,133.5491102609,865.6246564996,186.023585531
11.02.2025,232.33342715,232.76,409.8702272001,132.7792306854,861.7591932973,184.8763386636
12.02.2025,236.5781914238,228.93,407.4793839537,131.1194903018,869.6993329165,183.1704324521
13.02.2025,241.2324506041,230.37,408.9736609827,135.2688412607,868.5934916395,185.6943755603
14.02.2025,244.298668562,228.68,406.8717112952,138.828284493,842.6012403642,184.7865541261
18.02.2025,244.1688287136,226.65,408.0770947653,139.3781984755,855.5056833006,183.3300494075
19.02.2025,244.5683359394,226.63,413.1875222044,139.2082250627,865.3362140758,184.826458365
20.02.2025,245.5271532812,222.88,415.3691666667,140.0880874347,871.3942162896,184.1181581251
21.02.2025,245.2474982232,216.58,407.4636472376,134.4089757608,871.9531094098,179.2298888641
24.02.2025,246.7955887231,212.71,403.2613446119,130.2596248019,879.6578502813,178.8208704157
25.02.2025,246.7356626392,212.8,397.1724975769,126.6101956453,900.017528232,175.0000395444
26.02.2025,240.0638919687,214.35,398.9991516874,131.2594684065,913.2014177285,172.3164794807
27.02.2025,237.0076616915,208.74,391.8123158428,120.1312090877,903.3708869533,168.0966062207
28.02.2025,241.5420687041,212.28,396.2641613799,124.9004630815,918.8103093993,169.8723448502
03.03.2025,237.7367623786,205.02,387.7797023967,114.042161536,927.8823423685,166.6101733229
04.03.2025,235.6393494433,203.8,387.8994829941,115.9718596928,909.2592251841,170.510812672
05.03.2025,235.449583511,208.36,400.2867931095,117.2816548147,927.8823423685,172.6057852125
06.03.2025,235.0400886046,200.7,396.1643442153,110.5527073561,910.9558650134,171.9373892115
07.03.2025,238.7754811656,199.25,392.590889726,112.6723757977,867.8612133511,173.4437742286
10.03.2025,227.1997592987,194.54,379.4649325932,106.9632688157,828.1199204101,165.6724237096
11.03.2025,220.5679393509,196.59,379.7544023703,108.7429904318,822.431186865,163.8446035167
12.03.2025,216.7126946221,198.89,382.5692464094,115.7318972277,820.2355353213,166.9109466818
13.03.2025,209.4216877517,193.89,378.0774740065,115.571908429,800.0654818221,162.5661281906
14.03.2025,213.2269940772,197.95,387.8495744118,121.6614820778,811.8720989867,165.2928763471
17.03.2025,213.7363657901,195.74,387.9893184422,119.5216318958,823.1298032653,164.0943057289
18.03.2025,212.4279796257,192.82,382.8187893206,115.4219189303,820.8842505501,160.4786176971
19.03.2025,214.97483819,195.54,387.1109273945,117.5117726127,835.35559027,163.6947821894
20.03.2025,213.8362425965,194.95,386.1327191823,118.5217019042,840.904600535,162.6060805445
21.03.2025,218.0011054253,196.21,390.5446378536,117.6917600112,835.9144833902,163.7946630743
24.03.2025,220.4580748638,203.26,392.3613102476,121.40150028,863.1904637036,167.4802677255
25.03.2025,223.4743544184,205.71,394.4375072694,120.6815506861,850.6652696702,170.3568372093
26.03.2025,221.2570893153,201.13,389.2569964314,113.7520358443,825.1258501232,164.8633885423
27.03.2025,223.5742312248,201.36,389.8658811349,111.4221989639,820.0459108698,162.0467475893
28.03.2025,217.6315612414,192.72,378.1074191559,109.6623221787,820.8842505501,154.1461695973
31.03.2025,221.856350154,190.26,374.7036538462,108.3724124895,824.2775302086,154.4558003403
01.04.2025,222.9150443023,192.17,381.4912210327,110.1422885746,803.6384056978,156.8829058423
02.04.2025,223.6141819474,196.01,381.4413124504,110.4122696724,816.6027300399,156.8529415769
03.04.2025,202.9396830135,178.41,372.4278224954,101.7928731448,787.5303075545,150.540469654
04.04.2025,188.1479279792,171.0,359.1820847652,94.3033975077,736.7508754892,145.4265683494
07.04.2025,181.2364529732,175.26,357.2057049079,97.6331643797,722.2994962379,146.5751985252
08.04.2025,172.2075896707,170.66,353.9117384792,96.293258191,724.8045350446,144.5276403857
09.04.2025,198.6050296138,191.1,389.7760456868,114.3219959395,752.220238638,158.5209523539
10.04.2025,190.1854148306,181.22,380.6527568508,107.5624691963,719.4850701683,152.637968236
11.04.2025,197.9058919687,184.87,387.7397755309,110.9222339681,730.9623396013,156.9528224617
14.04.2025,202.2705084103,182.12,387.100945678,110.7022493699,752.8589736325,158.8805235394
15.04.2025,201.8909765458,179.59,385.0247486563,112.1921450574,755.6833799365,156.1238111174
16.04.2025,194.0306718787,174.33,370.9305650278,104.4826848222,733.4474179394,153.1473607487
17.04.2025,196.7373333333,172.61,367.1075676271,101.4828948474,838.2997593854,150.9799455474
21.04.2025,192.9220393272,167.32,358.4634011807,96.9032154859,816.4031253541,147.4941026659
22.04.2025,199.4939331912,173.18,366.1493228478,98.8830768692,825.9043083978,151.2895762904
23.04.2025,204.3479459844,180.6,373.7054822011,102.7028094371,827.7805924442,155.1649546228
24.04.2025,208.1133015873,186.54,386.591878139,106.4225490059,858.0306825759,159.0902733976
25.04.2025,209.0221805259,188.99,391.1335591242,111.0022283674,882.7916438483,161.7670811117
28.04.2025,209.8811210614,187.7,390.444820689,108.7223879866,875.5559739883,160.4186891662
29.04.2025,210.9498028903,187.39,393.3195550269,109.0123676841,883.4503393114,159.9692251843
30.04.2025,212.2382136934,184.42,394.5373244339,108.912374685,897.1731614595,158.6108451503
01.05.2025,213.0572035063,190.2,424.6222178165,111.6021863624,792.5304049335,161.1078672717
02.05.2025,205.0970220327,189.98,434.4841536699,114.4919840381,821.9920565563,163.8346154282
05.05.2025,198.6449803364,186.35,435.372526434,113.8120316438,819.8363259497,164.014401021
06.05.2025,198.2654484719,185.01,432.5177555291,113.5320512462,773.5879202519,163.0355683494
07.05.2025,196.0082326463,188.71,432.5576823949,117.0518048166,775.1847577383,151.199683494
08.05.2025,197.2467050462,192.08,437.3688697242,117.361783114,749.9647056886,154.0962291548
09.05.2025,198.2854238332,193.06,437.9278458454,116.64183352,733.1180702078,152.5680516166
12.05.2025,210.79,208.64,448.4385932681,122.9913889667,754.0765622159,158.2712501418
13.05.2025,212.93,211.37,448.3188126707,129.9209038085,744.5853594065,159.3399756098
14.05.2025,212.33,210.25,452.111864922,135.330525063,714.1456448234,165.1730192853
15.05.2025,211.45,205.17,453.13,134.8205607673,731.8406002187,163.7646988088
16.05.2025,211.26,205.59,454.27,135.3905208625,757.39,165.9920425411
19.05.2025,208.78,206.16,458.87,135.5605089611,755.11,166.3416256381
20.05.2025,206.86,204.07,458.17,134.3705922711,747.01,163.7846749858
21.05.2025,202.09,201.12,452.57,131.7907728927,724.95,168.3592195122
22.05.2025,201.36,203.1,454.86,132.8207007841,715.2,170.6664679524
23.05.2025,195.27,200.99,450.18,131.280808597,713.71,168.2693267158
27.05.2025,200.21,206.02,460.69,135.4905138617,725.22,172.6940499149
28.05.2025,200.42,204.72,457.36,134.8005621675,719.39,172.1546931367
29.05.2025,199.95,205.7,458.68,139.1802555307,722.57,171.6552887124
30.05.2025,200.85,205.01,460.36,135.1205397648,737.67,171.5354316506
02.06.2025,201.7,206.65,461.97,137.3703822459,747.12,168.828659671
03.06.2025,203.27,205.71,462.97,141.2101134136,750.78,165.9820544526
04.06.2025,202.82,207.23,463.87,141.9100644077,765.84,167.8498269994
05.06.2025,200.63,207.91,467.68,139.9801995239,765.68,168.0096364152
06.06.2025,203.92,213.57,470.38,141.7100784094,769.88,173.4731208168
09.06.2025,201.45,216.98,472.75,142.6200147018,773.71,176.09
10.06.2025,202.67,217.61,470.92,143.9499215906,807.19,178.6
11.06.2025,198.78,213.2,472.62,142.83,808.61,177.35
12.06.2025,199.2,213.24,478.87,145.0,812.03,175.7
13.06.2025,196.45,212.1,474.96,141.97,819.36,174.67
16.06.2025,198.42,216.1,479.14,144.69,807.58,176.77
17.06.2025,195.64,214.82,478.04,144.12,791.24,175.95
18.06.2025,196.58,212.52,480.24,145.48,785.03,173.32
20.06.2025,201.0,209.69,477.4,143.85,762.73,166.64
23.06.2025,201.5,208.47,486.0,144.17,770.64,165.19
24.06.2025,200.3,212.77,490.11,147.9,778.08,166.77
25.06.2025,201.56,211.99,492.27,154.31,792.3,170.68
26.06.2025,201.0,217.12,497.45,155.02,795.12,173.54
27.06.2025,201.08,223.3,495.94,157.75,775.45,178.53
30.06.2025,205.17,219.39,497.41,157.99,779.53,176.23
01.07.2025,207.82,220.46,492.05,153.3,775.9,175.84
02.07.2025,212.44,219.92,491.09,157.25,779.28,178.64
03.07.2025,213.55,223.41,498.84,159.34,780.67,179.53
07.07.2025,209.95,223.47,497.72,158.24,772.87,176.79
08.07.2025,210.01,219.36,496.62,160.0,777.66,174.36
09.07.2025,211.14,222.54,503.51,162.88,786.92,176.62
10.07.2025,212.41,222.26,501.48,164.1,790.65,177.62
11.07.2025,211.16,225.02,503.32,164.92,793.01,180.19
14.07.2025,208.62,225.69,503.02,164.07,799.34,181.56
15.07.2025,209.11,226.35,505.82,170.7,771.75,182.0
16.07.2025,210.16,223.19,505.62,171.37,789.8,182.97
17.07.2025,210.02,223.88,511.7,173.0,761.5,183.58
18.07.2025,211.18,226.13,510.05,172.41,771.71,185.06
